_id,month,number_of_vessels,gross_tonnage
1,1995-01,8876,58978.63
2,1995-02,7593,53786.76
3,1995-03,8610,58440.76
4,1995-04,8483,59351.66
5,1995-05,8749,61696.06
6,1995-06,8507,55360.23
7,1995-07,8669,61310.53
8,1995-08,8498,60099.24
9,1995-09,8582,58360.88
10,1995-10,9140,60323.65
11,1995-11,8788,58842.38
12,1995-12,9519,64021.76
13,1996-01,9592,62435.31
14,1996-02,8687,61216.38
15,1996-03,9971,67916.82
16,1996-04,9633,63416.76
17,1996-05,9836,65486.31
18,1996-06,9635,63610.22
19,1996-07,10046,64756.1
20,1996-08,9888,64188.05
21,1996-09,9840,63964.23
22,1996-10,10218,63443.46
23,1996-11,10083,63469.45
24,1996-12,10294,64617.48
25,1997-01,10726,66987.03
26,1997-02,8945,58575.94
27,1997-03,10605,64322.54
28,1997-04,10332,66139.2
29,1997-05,10861,68990.93
30,1997-06,10730,66250.85
31,1997-07,11334,70501.76
32,1997-08,11169,69369.87
33,1997-09,11317,66701.84
34,1997-10,11481,72514.76
35,1997-11,11075,65783.73
36,1997-12,11758,72166.34
37,1998-01,11479,75372
38,1998-02,10631,67629
39,1998-03,11640,70675
40,1998-04,11095,67126
41,1998-05,11909,72884
42,1998-06,11702,70458
43,1998-07,11915,73530
44,1998-08,12030,71495
45,1998-09,11904,70952
46,1998-10,12078,73017
47,1998-11,12088,69784
48,1998-12,12451,74733
49,1999-01,12227,77270
50,1999-02,10743,65346
51,1999-03,12393,75934
52,1999-04,11822,73570
53,1999-05,12033,75977
54,1999-06,11750,71145
55,1999-07,12341,73503
56,1999-08,12059,72860
57,1999-09,11639,72681
58,1999-10,11776,75110
59,1999-11,11176,70150
60,1999-12,11564,73581
61,2000-01,11433,76261
62,2000-02,10894,69437
63,2000-03,12297,73167
64,2000-04,12004,76678
65,2000-05,12394,78392
66,2000-06,12425,74873
67,2000-07,12612,78893
68,2000-08,12363,76848
69,2000-09,11934,75658
70,2000-10,12511,80766
71,2000-11,12107,73453
72,2000-12,12409,75754
73,2001-01,12186,79224
74,2001-02,11131,67571
75,2001-03,12574,78792
76,2001-04,11862,76961
77,2001-05,12561,79461
78,2001-06,12048,78941
79,2001-07,12912,81576
80,2001-08,12696,82116
81,2001-09,12055,81410
82,2001-10,12454,86959
83,2001-11,11871,82403
84,2001-12,11915,84679
85,2002-01,11910,80725
86,2002-02,10512,72197
87,2002-03,12115,83814
88,2002-04,11631,83301.68
89,2002-05,12089,83278.31
90,2002-06,11719,80569.54
91,2002-07,12458,84008.85
92,2002-08,12178,80024.85
93,2002-09,11878,77540.36
94,2002-10,12369,82294.82
95,2002-11,11976,81265.35
96,2002-12,11911,82725.59
97,2003-01,12072,84330
98,2003-02,10478,76666
99,2003-03,11860,86087
100,2003-04,11108,82549.02
101,2003-05,10837,81544.12
102,2003-06,10755,82240.69
103,2003-07,11317,82114.75
104,2003-08,11284,84578.22
105,2003-09,11098,81299.04
106,2003-10,11502,81053.1
107,2003-11,11342,80152.34
108,2003-12,11733,83777.65
109,2004-01,11448,85613.29
110,2004-02,10724,78549.91
111,2004-03,11882,87601.49
112,2004-04,10466,85315.19
113,2004-05,10975,86620.17
114,2004-06,10764,84301.33
115,2004-07,11287,88464.94
116,2004-08,11028,87568.46
117,2004-09,10933,89413.4
118,2004-10,10950,88375.68
119,2004-11,11018,90054.61
120,2004-12,11710,90568.74
121,2005-01,11744,94921.03
122,2005-02,10025,82601.5
123,2005-03,11345,94532.38
124,2005-04,11044,93755.58
125,2005-05,11260,96557.58
126,2005-06,10764,95610.46
127,2005-07,10826,96520.87
128,2005-08,10878,101965.58
129,2005-09,10498,95312.08
130,2005-10,10922,102079.07
131,2005-11,10263,97604
132,2005-12,10749,100331.32
133,2006-01,10536,106128.33
134,2006-02,9791,97913.96
135,2006-03,11200,109126.56
136,2006-04,10563,106111.17
137,2006-05,10952,113660.29
138,2006-06,10857,110807.87
139,2006-07,10858,109693.22
140,2006-08,10952,115588.86
141,2006-09,10955,110819.07
142,2006-10,10743,110674.99
143,2006-11,10661,110184.37
144,2006-12,10854,114281.22
145,2007-01,10918,116827.95
146,2007-02,9604,107251.46
147,2007-03,10501,121907.22
148,2007-04,10252,117951.49
149,2007-05,10631,120523.55
150,2007-06,10585,122170.12
151,2007-07,11070,125429.43
152,2007-08,11146,124276.18
153,2007-09,10986,126751.99
154,2007-10,11083,126948.79
155,2007-11,10783,122889.22
156,2007-12,11009,126293.74
157,2008-01,11058,133639.39
158,2008-02,10043,122405.61
159,2008-03,11123,138680.5
160,2008-04,11149,140166.47
161,2008-05,11429,139235.44
162,2008-06,10879,129099.08
163,2008-07,11378,135435.38
164,2008-08,11201,141463.89
165,2008-09,10760,134320.78
166,2008-10,10897,133279.74
167,2008-11,10741,134173.63
168,2008-12,11037,139165.37
169,2009-01,10560,143000.94
170,2009-02,9889,127943.95
171,2009-03,11056,152495.16
172,2009-04,10698,145084.1
173,2009-05,11187,159583.81
174,2009-06,11029,143912.07
175,2009-07,11438,154009.24
176,2009-08,11261,153545.04
177,2009-09,10799,150253.54
178,2009-10,11163,155931.84
179,2009-11,10502,146712.59
180,2009-12,10993,152196.93
181,2010-01,10993,154239.92
182,2010-02,9981,145449.61
183,2010-03,10997,158543.48
184,2010-04,10431,153625.92
185,2010-05,10706,160764.34
186,2010-06,10598,160281.3
187,2010-07,10891,166138.94
188,2010-08,10645,160403.83
189,2010-09,10200,160709.78
190,2010-10,10546,168713.95
191,2010-11,10307,163733.77
192,2010-12,11004,166803.18
193,2011-01,10937,177800.37
194,2011-02,9488,159536.01
195,2011-03,10994,181779.73
196,2011-04,10401,169981.39
197,2011-05,10680,177334.92
198,2011-06,10468,170444.01
199,2011-07,11148,177243.74
200,2011-08,10827,181694.36
201,2011-09,10432,171645.38
202,2011-10,11069,188048.6
203,2011-11,10519,176604.58
204,2011-12,11035,188169.26
205,2012-01,10743,189814.3
206,2012-02,10120,171077.22
207,2012-03,11050,191939.61
208,2012-04,10669,186794.73
209,2012-05,11218,197793.99
210,2012-06,10790,186391.09
211,2012-07,11099,191730.34
212,2012-08,10825,189373.23
213,2012-09,10768,182714.03
214,2012-10,10959,189815.19
215,2012-11,10906,189931.92
216,2012-12,11275,186977.77
217,2013-01,11564,196666.51
218,2013-02,10363,175317.64
219,2013-03,11579,186301.9
220,2013-04,11360,189406.5
221,2013-05,11803,199605.17
222,2013-06,11565,189870.97
223,2013-07,11992,204455.07
224,2013-08,11921,198932.31
225,2013-09,11716,195350.07
226,2013-10,11975,196541.44
227,2013-11,11667,196355.79
228,2013-12,11912,197314.67
229,2014-01,11754,214747.99
230,2014-02,10679,180201.33
231,2014-03,11886,203364.36
232,2014-04,11432,193719.6
233,2014-05,11589,202037.11
234,2014-06,11227,189038.9
235,2014-07,11172,201324.76
236,2014-08,11091,199676.13
237,2014-09,10818,196684.14
238,2014-10,11281,195483.67
239,2014-11,10766,202040.57
240,2014-12,11188,192788.59
241,2015-01,11319,208715.82
242,2015-02,10240,189636.44
243,2015-03,11126,200481.36
244,2015-04,10762,205746.9
245,2015-05,11021,208615.37
246,2015-06,10960,202295.28
247,2015-07,11295,210948.97
248,2015-08,11536,225302.06
249,2015-09,11045,208557.53
250,2015-10,11144,210769.97
251,2015-11,11046,209418.93
252,2015-12,11428,223665.96
253,2016-01,11657,228884.75
254,2016-02,10621,204270.93
255,2016-03,11789,227512.94
256,2016-04,11530,225144.97
257,2016-05,11708,230315.97
258,2016-06,11454,222676.08
259,2016-07,11322,222866.89
260,2016-08,11708,227741.48
261,2016-09,11437,212086.81
262,2016-10,11928,220083.18
263,2016-11,11713,221311.82
264,2016-12,12131,219798.9
265,2017-01,11925,235318.82
266,2017-02,10666,207820.11
267,2017-03,12318,234466.89
268,2017-04,12260,229464.86
269,2017-05,12655,243798.14
270,2017-06,12275,235488.3
271,2017-07,11811,232044.65
272,2017-08,11916,234389.54
273,2017-09,11619,231419.21
274,2017-10,12549,234494.21
275,2017-11,12347,236194.06
276,2017-12,12806,244686.18
277,2018-01,12642,249644.26
278,2018-02,11130,224247.6
279,2018-03,12546,238689.49
280,2018-04,12133,241008.68
281,2018-05,12225,236607.12
282,2018-06,11192,226588.07
283,2018-07,11605,226025.24
284,2018-08,11389,222035
285,2018-09,11367,230532.88
286,2018-10,11629,233085.15
287,2018-11,11187,228495.25
288,2018-12,11723,235007.18
289,2019-01,11678,248250.1
290,2019-02,10275,214560.33
291,2019-03,11509,229405.25
292,2019-04,11243,226031.66
293,2019-05,11697,235453.73
294,2019-06,11138,227456.84
295,2019-07,11554,238850.89
296,2019-08,11739,236773.69
297,2019-09,11547,244462
298,2019-10,12026,250282.2
299,2019-11,11743,244544.16
300,2019-12,12148,258663.57
301,2020-01,12134,263882.76
302,2020-02,10879,234656.39
303,2020-03,9827,251387.54
304,2020-04,7015,230354.33
305,2020-05,6582,223323.1
306,2020-06,6701,227328.17
307,2020-07,7178,252004.77
308,2020-08,6958,244006.65
309,2020-09,7255,240460.26
310,2020-10,7502,243803.21
311,2020-11,7347,246267.65
312,2020-12,7479,245140.17
313,2021-01,7641,255333.36
314,2021-02,6990,236520.87
315,2021-03,7788,245081.71
316,2021-04,7500,239954.8
317,2021-05,7211,238117
318,2021-06,7247,231443.52
319,2021-07,7246,229192.22
320,2021-08,7178,226134.52
321,2021-09,6918,221138.04
322,2021-10,7098,230041.88
323,2021-11,7130,230994.76
324,2021-12,7286,229814.75
325,2022-01,7213,234263.48
326,2022-02,6440,207371.8
327,2022-03,7307,223085.29
328,2022-04,7608,225608.61
329,2022-05,7815,239397.63
330,2022-06,8301,230600.14
331,2022-07,9044,246795.37
332,2022-08,9129,244949.86
333,2022-09,8976,231414.27
334,2022-10,9451,251201.12
335,2022-11,9442,248477.98
336,2022-12,10081,245198.26
337,2023-01,10035,257447.53
338,2023-02,9202,226665.74
339,2023-03,10270,254529.63
340,2023-04,9987,259312.18
341,2023-05,10324,266695.5
342,2023-06,9845,250042.75
343,2023-07,10196,260278.92
344,2023-08,10070,263675.55
345,2023-09,10044,260668.89
346,2023-10,10364,262952.42
347,2023-11,10325,265224.41
348,2023-12,10741,266182.53
349,2024-01,10872,276629.63
350,2024-02,9987,252366.38
351,2024-03,10678,263626.61
352,2024-04,10066,250221.57
353,2024-05,10717,267371.92
354,2024-06,10107,240966.64
355,2024-07,10632,264463.05
356,2024-08,10796,261665.26
357,2024-09,10292,247633.18
358,2024-10,10724,263424.76
359,2024-11,10320,252960.33
360,2024-12,10727,271365.24
361,2025-01,10695,269554.58
362,2025-02,9660,227234.62
363,2025-03,10662,258091.47
364,2025-04,10558,260851.72
365,2025-05,11338,275644.96
366,2025-06,10841,262836.88
367,2025-07,11242,281540.66
368,2025-08,11182,277058.92
369,2025-09,10992,265274.34
370,2025-10,11552,280938.01
371,2025-11,11207,273269.65
372,2025-12,11892,288023.2
373,2026-01,12031,293346.24
374,2026-02,10886,257055.9
375,2026-03,11591,275916.11
376,2026-04,10873,261031.68
377,2026-05,11729,278622.13
