_id,month,vessel_type,number_of_vessels,gross_tonnage
1,1995-01,Container,1112,19477.72
2,1995-01,Freighter,916,4006.11
3,1995-01,Bulk Carrier,346,9115.43
4,1995-01,Tanker,1272,20064.49
5,1995-01,Passenger,2656,2403.33
6,1995-01,Barges,1352,1241.02
7,1995-01,Tug,775,129.44
8,1995-01,Miscellaneous,447,2541.08
9,1995-02,Container,1001,18105.27
10,1995-02,Freighter,843,3995.91
11,1995-02,Bulk Carrier,263,7369.74
12,1995-02,Tanker,1171,18717.89
13,1995-02,Passenger,2265,2147.31
14,1995-02,Barges,1040,1063.33
15,1995-02,Tug,614,115.96
16,1995-02,Miscellaneous,396,2271.35
17,1995-03,Container,1079,19376.52
18,1995-03,Freighter,927,4016.74
19,1995-03,Bulk Carrier,308,8187.82
20,1995-03,Tanker,1299,20873.16
21,1995-03,Passenger,2614,2534.46
22,1995-03,Barges,1226,1183.79
23,1995-03,Tug,709,121.26
24,1995-03,Miscellaneous,448,2147
25,1995-04,Container,1026,18523.24
26,1995-04,Freighter,894,4095.16
27,1995-04,Bulk Carrier,317,9136.04
28,1995-04,Tanker,1261,21470.51
29,1995-04,Passenger,2511,2203.98
30,1995-04,Barges,1292,1165.61
31,1995-04,Tug,739,121.07
32,1995-04,Miscellaneous,443,2636.05
33,1995-05,Container,1106,19747.9
34,1995-05,Freighter,881,3841.34
35,1995-05,Bulk Carrier,323,9072.3
36,1995-05,Tanker,1287,22675.95
37,1995-05,Passenger,2650,2223.32
38,1995-05,Barges,1316,1225.82
39,1995-05,Tug,723,127.24
40,1995-05,Miscellaneous,463,2782.19
41,1995-06,Container,1065,19204.3
42,1995-06,Freighter,871,4044.44
43,1995-06,Bulk Carrier,313,8221.29
44,1995-06,Tanker,1257,18223.95
45,1995-06,Passenger,2412,2056.02
46,1995-06,Barges,1379,1198.41
47,1995-06,Tug,776,133.95
48,1995-06,Miscellaneous,434,2277.88
49,1995-07,Container,1147,20391.8
50,1995-07,Freighter,894,4125.53
51,1995-07,Bulk Carrier,390,10843.54
52,1995-07,Tanker,1300,19917.48
53,1995-07,Passenger,2351,2292.55
54,1995-07,Barges,1401,1285.16
55,1995-07,Tug,768,138.4
56,1995-07,Miscellaneous,418,2316.07
57,1995-08,Container,1191,20619.67
58,1995-08,Freighter,913,4246.79
59,1995-08,Bulk Carrier,342,8692.55
60,1995-08,Tanker,1311,20287.79
61,1995-08,Passenger,2225,2336.52
62,1995-08,Barges,1344,1201.08
63,1995-08,Tug,743,125.29
64,1995-08,Miscellaneous,429,2589.55
65,1995-09,Container,1165,20264.79
66,1995-09,Freighter,875,4041.29
67,1995-09,Bulk Carrier,330,8585.8
68,1995-09,Tanker,1286,19252.72
69,1995-09,Passenger,2245,2134.53
70,1995-09,Barges,1447,1392.14
71,1995-09,Tug,793,129.07
72,1995-09,Miscellaneous,441,2560.55
73,1995-10,Container,1221,21438.82
74,1995-10,Freighter,903,4268.83
75,1995-10,Bulk Carrier,367,9230.35
76,1995-10,Tanker,1294,18885.83
77,1995-10,Passenger,2439,2205.83
78,1995-10,Barges,1564,1448.43
79,1995-10,Tug,892,146.61
80,1995-10,Miscellaneous,460,2698.95
81,1995-11,Container,1153,20534.79
82,1995-11,Freighter,877,4121.41
83,1995-11,Bulk Carrier,331,9373.56
84,1995-11,Tanker,1261,18284.19
85,1995-11,Passenger,2391,1986.18
86,1995-11,Barges,1495,1392.26
87,1995-11,Tug,822,144.82
88,1995-11,Miscellaneous,458,3005.18
89,1995-12,Container,1211,21368.51
90,1995-12,Freighter,854,3802.98
91,1995-12,Bulk Carrier,355,10199.84
92,1995-12,Tanker,1355,21715.08
93,1995-12,Passenger,2755,2280.65
94,1995-12,Barges,1631,1542.55
95,1995-12,Tug,924,153.59
96,1995-12,Miscellaneous,434,2958.56
97,1996-01,Container,1218,21885.63
98,1996-01,Freighter,924,4157.78
99,1996-01,Bulk Carrier,329,9398.41
100,1996-01,Tanker,1348,20167
101,1996-01,Passenger,2677,2067.52
102,1996-01,Barges,1685,1544.98
103,1996-01,Tug,977,168.78
104,1996-01,Miscellaneous,434,3045.21
105,1996-02,Container,1128,20731.07
106,1996-02,Freighter,742,3307.91
107,1996-02,Bulk Carrier,361,11092.63
108,1996-02,Tanker,1296,20054.5
109,1996-02,Passenger,2653,2109.91
110,1996-02,Barges,1314,1279.15
111,1996-02,Tug,780,142.06
112,1996-02,Miscellaneous,413,2499.15
113,1996-03,Container,1209,22128.31
114,1996-03,Freighter,859,3464.2
115,1996-03,Bulk Carrier,391,11064.44
116,1996-03,Tanker,1441,24433.43
117,1996-03,Passenger,2851,2522.14
118,1996-03,Barges,1713,1609.22
119,1996-03,Tug,1063,176.77
120,1996-03,Miscellaneous,444,2518.31
121,1996-04,Container,1201,21585.91
122,1996-04,Freighter,874,3790.13
123,1996-04,Bulk Carrier,350,10110.84
124,1996-04,Tanker,1386,21354.37
125,1996-04,Passenger,2689,2023.45
126,1996-04,Barges,1686,1585.87
127,1996-04,Tug,973,154.48
128,1996-04,Miscellaneous,474,2811.72
129,1996-05,Container,1267,22961.72
130,1996-05,Freighter,894,3946.03
131,1996-05,Bulk Carrier,351,9803.39
132,1996-05,Tanker,1427,21683.16
133,1996-05,Passenger,2610,2096.69
134,1996-05,Barges,1751,1701.87
135,1996-05,Tug,1035,186.18
136,1996-05,Miscellaneous,501,3107.26
137,1996-06,Container,1259,22451.36
138,1996-06,Freighter,847,3813.98
139,1996-06,Bulk Carrier,398,11470.85
140,1996-06,Tanker,1368,19404.39
141,1996-06,Passenger,2542,2029.15
142,1996-06,Barges,1727,1556.72
143,1996-06,Tug,1040,163.11
144,1996-06,Miscellaneous,454,2720.66
145,1996-07,Container,1337,23601.63
146,1996-07,Freighter,885,4143.84
147,1996-07,Bulk Carrier,391,10676.61
148,1996-07,Tanker,1392,19597.46
149,1996-07,Passenger,2584,1755.44
150,1996-07,Barges,1852,1739.8
151,1996-07,Tug,1132,184.81
152,1996-07,Miscellaneous,473,3056.51
153,1996-08,Container,1316,23834.43
154,1996-08,Freighter,871,3714.74
155,1996-08,Bulk Carrier,359,10031.43
156,1996-08,Tanker,1389,20246.51
157,1996-08,Passenger,2605,1911.1
158,1996-08,Barges,1807,1677.86
159,1996-08,Tug,1068,174.56
160,1996-08,Miscellaneous,473,2597.43
161,1996-09,Container,1287,23641.74
162,1996-09,Freighter,829,3514.73
163,1996-09,Bulk Carrier,372,10643.84
164,1996-09,Tanker,1328,19597.42
165,1996-09,Passenger,2733,1876.84
166,1996-09,Barges,1773,1630.03
167,1996-09,Tug,1044,172.63
168,1996-09,Miscellaneous,474,2887
169,1996-10,Container,1310,23857
170,1996-10,Freighter,839,3504.29
171,1996-10,Bulk Carrier,376,10806.87
172,1996-10,Tanker,1335,18345.58
173,1996-10,Passenger,2927,1953.06
174,1996-10,Barges,1815,1712.38
175,1996-10,Tug,1108,186.21
176,1996-10,Miscellaneous,508,3078.07
177,1996-11,Container,1319,23948.41
178,1996-11,Freighter,816,3524.61
179,1996-11,Bulk Carrier,353,10244.46
180,1996-11,Tanker,1321,18703.15
181,1996-11,Passenger,2886,2106.47
182,1996-11,Barges,1752,1627.5
183,1996-11,Tug,1096,172.22
184,1996-11,Miscellaneous,540,3142.64
185,1996-12,Container,1340,24179.91
186,1996-12,Freighter,830,3618.1
187,1996-12,Bulk Carrier,366,10559.72
188,1996-12,Tanker,1360,19118.45
189,1996-12,Passenger,2946,2215.91
190,1996-12,Barges,1761,1705.88
191,1996-12,Tug,1184,191.81
192,1996-12,Miscellaneous,507,3027.7
193,1997-01,Container,1320,24406.33
194,1997-01,Freighter,858,3615.31
195,1997-01,Bulk Carrier,369,10555.08
196,1997-01,Tanker,1466,21131.3
197,1997-01,Passenger,3028,2163.45
198,1997-01,Barges,1860,1781.71
199,1997-01,Tug,1277,207.76
200,1997-01,Miscellaneous,548,3126.1
201,1997-02,Container,1191,22080.39
202,1997-02,Freighter,650,2838.12
203,1997-02,Bulk Carrier,331,9177.74
204,1997-02,Tanker,1286,18230.44
205,1997-02,Passenger,2687,1971.14
206,1997-02,Barges,1344,1326.75
207,1997-02,Tug,983,154.74
208,1997-02,Miscellaneous,473,2796.62
209,1997-03,Container,1351,24527.19
210,1997-03,Freighter,805,3447.69
211,1997-03,Bulk Carrier,326,9721.74
212,1997-03,Tanker,1425,19711.2
213,1997-03,Passenger,2945,2124.8
214,1997-03,Barges,1872,1818.95
215,1997-03,Tug,1327,202.73
216,1997-03,Miscellaneous,554,2768.25
217,1997-04,Container,1328,24027.51
218,1997-04,Freighter,828,3572.52
219,1997-04,Bulk Carrier,364,10350.58
220,1997-04,Tanker,1452,21650.04
221,1997-04,Passenger,2749,1665.97
222,1997-04,Barges,1813,1861.12
223,1997-04,Tug,1287,208.97
224,1997-04,Miscellaneous,511,2802.5
225,1997-05,Container,1370,24812.66
226,1997-05,Freighter,835,3380.96
227,1997-05,Bulk Carrier,333,9878.23
228,1997-05,Tanker,1577,23818.64
229,1997-05,Passenger,2932,1805.13
230,1997-05,Barges,1882,1895.52
231,1997-05,Tug,1363,214.26
232,1997-05,Miscellaneous,569,3185.53
233,1997-06,Container,1327,23831.14
234,1997-06,Freighter,844,3539.97
