_id,month,container_throughput
1,1995-01,946.36
2,1995-02,867.45
3,1995-03,969.54
4,1995-04,960.13
5,1995-05,988.27
6,1995-06,973.04
7,1995-07,1037.36
8,1995-08,1046.53
9,1995-09,977.47
10,1995-10,1047.89
11,1995-11,986.85
12,1995-12,1045.14
13,1996-01,1047.67
14,1996-02,958.42
15,1996-03,1021.53
16,1996-04,1040.96
17,1996-05,1093.59
18,1996-06,1073.73
19,1996-07,1143.93
20,1996-08,1128.48
21,1996-09,1085.66
22,1996-10,1137.66
23,1996-11,1098.74
24,1996-12,1114.11
25,1997-01,1105.2
26,1997-02,963.32
27,1997-03,1187.06
28,1997-04,1139.66
29,1997-05,1180.4
30,1997-06,1183.7
31,1997-07,1250.59
32,1997-08,1235.57
33,1997-09,1207.08
34,1997-10,1272.03
35,1997-11,1198.91
36,1997-12,1212.36
37,1998-01,1144.11
38,1998-02,1047.96
39,1998-03,1312.16
40,1998-04,1256.44
41,1998-05,1278.53
42,1998-06,1355.05
43,1998-07,1327.4
44,1998-08,1286.21
45,1998-09,1275.32
46,1998-10,1289.78
47,1998-11,1268.19
48,1998-12,1294.4
49,1999-01,1198.16
50,1999-02,1143.95
51,1999-03,1321.73
52,1999-04,1292.65
53,1999-05,1369.36
54,1999-06,1357.75
55,1999-07,1381.62
56,1999-08,1426.02
57,1999-09,1345.8
58,1999-10,1381.77
59,1999-11,1338.37
60,1999-12,1387.62
61,2000-01,1333.93
62,2000-02,1382.96
63,2000-03,1512.4
64,2000-04,1455.18
65,2000-05,1494.14
66,2000-06,1486.32
67,2000-07,1492.51
68,2000-08,1507.12
69,2000-09,1393.86
70,2000-10,1430.99
71,2000-11,1325.54
72,2000-12,1271.96
73,2001-01,1181.34
74,2001-02,1156.03
75,2001-03,1341.81
76,2001-04,1264.96
77,2001-05,1307.79
78,2001-06,1294.49
79,2001-07,1353.52
80,2001-08,1349.62
81,2001-09,1332.51
82,2001-10,1359.93
83,2001-11,1302.71
84,2001-12,1326.38
85,2002-01,1322.54
86,2002-02,1256.26
87,2002-03,1435.04
88,2002-04,1392.63
89,2002-05,1452.75
90,2002-06,1421.47
91,2002-07,1497.48
92,2002-08,1473.65
93,2002-09,1430.12
94,2002-10,1437.62
95,2002-11,1406.76
96,2002-12,1414.61
97,2003-01,1402.8
98,2003-02,1319.8
99,2003-03,1527.21
100,2003-04,1452.4
101,2003-05,1516.39
102,2003-06,1546.04
103,2003-07,1630.04
104,2003-08,1622.58
105,2003-09,1550.72
106,2003-10,1628.92
107,2003-11,1563.92
108,2003-12,1649.65
109,2004-01,1612.94
110,2004-02,1482.22
111,2004-03,1742.57
112,2004-04,1707.69
113,2004-05,1792.45
114,2004-06,1857.88
115,2004-07,1871.09
116,2004-08,1877.99
117,2004-09,1858.61
118,2004-10,1858.88
119,2004-11,1759.74
120,2004-12,1907.05
121,2005-01,1848.16
122,2005-02,1690.23
123,2005-03,1984.77
124,2005-04,1890.3
125,2005-05,1971.31
126,2005-06,1992.44
127,2005-07,1985.45
128,2005-08,2039.76
129,2005-09,1942.73
130,2005-10,1990.65
131,2005-11,1876.11
132,2005-12,1980.3
133,2006-01,1948.31
134,2006-02,1759.94
135,2006-03,2052.97
136,2006-04,1958.25
137,2006-05,2066.82
138,2006-06,2016.86
139,2006-07,2127.93
140,2006-08,2269.97
141,2006-09,2130.31
142,2006-10,2175.39
143,2006-11,2097.24
144,2006-12,2188.38
145,2007-01,2170.52
146,2007-02,2117.71
147,2007-03,2290.93
148,2007-04,2221.44
149,2007-05,2349.12
150,2007-06,2320.62
151,2007-07,2444.09
152,2007-08,2456.69
153,2007-09,2356.11
154,2007-10,2402.76
155,2007-11,2323.27
156,2007-12,2482.2
157,2008-01,2455.55
158,2008-02,2308.35
159,2008-03,2567.12
160,2008-04,2534.08
161,2008-05,2632.96
162,2008-06,2527.02
163,2008-07,2729.14
164,2008-08,2641.46
165,2008-09,2555.74
166,2008-10,2522.02
167,2008-11,2288.54
168,2008-12,2156.29
169,2009-01,1974.37
170,2009-02,1850.46
171,2009-03,2193.29
172,2009-04,2085.12
173,2009-05,2098.83
174,2009-06,2096.95
175,2009-07,2220.59
176,2009-08,2276.51
177,2009-09,2145.44
178,2009-10,2314.3
179,2009-11,2326.91
180,2009-12,2283.8
181,2010-01,2332.3
182,2010-02,2183.21
183,2010-03,2409.63
184,2010-04,2320.77
185,2010-05,2422.52
186,2010-06,2394.97
187,2010-07,2520.84
188,2010-08,2426.45
189,2010-09,2233.76
190,2010-10,2392.13
191,2010-11,2415.51
192,2010-12,2379.03
193,2011-01,2416.06
194,2011-02,2146.93
195,2011-03,2504.23
196,2011-04,2461.11
197,2011-05,2571.76
198,2011-06,2482.29
199,2011-07,2639.54
200,2011-08,2625.7
201,2011-09,2410.24
202,2011-10,2568.73
203,2011-11,2472.11
204,2011-12,2638.99
205,2012-01,2542.77
206,2012-02,2345.39
207,2012-03,2648.71
208,2012-04,2600.02
209,2012-05,2792.98
210,2012-06,2710.4
211,2012-07,2769.65
212,2012-08,2744.72
213,2012-09,2609.06
214,2012-10,2675.43
215,2012-11,2589.13
216,2012-12,2621.1
217,2013-01,2629.65
218,2013-02,2361.57
219,2013-03,2643.66
220,2013-04,2627.78
221,2013-05,2826.57
222,2013-06,2725.15
223,2013-07,2952.63
224,2013-08,2818.2
225,2013-09,2715.96
226,2013-10,2823.91
227,2013-11,2694.29
228,2013-12,2759.32
229,2014-01,2685.9
230,2014-02,2413.23
231,2014-03,2835.28
232,2014-04,2791.37
233,2014-05,2942.7
234,2014-06,2837.52
235,2014-07,2945.22
236,2014-08,2869.25
237,2014-09,2809.85
238,2014-10,2971.42
239,2014-11,2858.41
240,2014-12,2909.11
241,2015-01,2781.53
242,2015-02,2607.47
243,2015-03,2735.86
244,2015-04,2633.1
245,2015-05,2622.87
246,2015-06,2616.76
247,2015-07,2554.46
248,2015-08,2525.9
249,2015-09,2427.65
250,2015-10,2497.05
251,2015-11,2404.4
252,2015-12,2515.21
253,2016-01,2488.43
254,2016-02,2383.77
255,2016-03,2518.04
256,2016-04,2528.06
257,2016-05,2665.42
258,2016-06,2597.68
259,2016-07,2571.35
260,2016-08,2682.27
261,2016-09,2597.04
262,2016-10,2533.06
263,2016-11,2573.06
264,2016-12,2765.46
265,2017-01,2623.27
266,2017-02,2297.19
267,2017-03,2691.61
268,2017-04,2724.42
269,2017-05,2990.91
270,2017-06,2822.43
271,2017-07,2876.98
272,2017-08,2947.37
273,2017-09,2800.01
274,2017-10,2957.15
275,2017-11,2977.07
276,2017-12,2958.14
277,2018-01,2992.88
278,2018-02,2822.93
279,2018-03,3048.81
280,2018-04,2915.26
281,2018-05,3182.81
282,2018-06,3058.65
283,2018-07,3133.54
284,2018-08,3156.34
285,2018-09,2988.93
286,2018-10,3153.06
287,2018-11,3014.71
288,2018-12,3131.35
289,2019-01,2999.11
290,2019-02,2740.53
291,2019-03,3163.9
292,2019-04,2992.13
293,2019-05,3137.76
294,2019-06,2996.99
295,2019-07,3235.35
296,2019-08,3133.74
297,2019-09,3093.86
298,2019-10,3234.4
299,2019-11,3267.7
300,2019-12,3260.5
301,2020-01,3182.6
302,2020-02,2898.69
303,2020-03,3197.88
304,2020-04,2843.48
305,2020-05,2806.72
306,2020-06,2907.67
307,2020-07,3016.32
308,2020-08,3174.7
309,2020-09,3207.67
310,2020-10,3238.69
311,2020-11,3134.65
312,2020-12,3333.28
313,2021-01,3156.02
314,2021-02,2881.59
315,2021-03,3270.57
316,2021-04,3091.28
317,2021-05,3216.9
318,2021-06,3114.51
319,2021-07,3123.56
320,2021-08,3182.28
321,2021-09,3117.36
322,2021-10,2974.93
323,2021-11,3149.98
324,2021-12,3292.22
325,2022-01,3143.71
326,2022-02,2843.53
327,2022-03,3089.48
328,2022-04,3042.01
329,2022-05,3122.01
330,2022-06,3166.23
331,2022-07,3286.33
332,2022-08,3262.31
333,2022-09,3063.77
334,2022-10,3061.84
335,2022-11,2955.47
336,2022-12,3252.9
337,2023-01,2989.5
338,2023-02,2684.43
339,2023-03,3335.46
340,2023-04,3264.67
341,2023-05,3409.7
342,2023-06,3345.55
343,2023-07,3431.27
344,2023-08,3328.44
345,2023-09,3206.65
346,2023-10,3241.16
347,2023-11,3353.25
348,2023-12,3422.87
349,2024-01,3306.12
350,2024-02,3171.92
351,2024-03,3491.71
352,2024-04,3388.59
353,2024-05,3537.81
354,2024-06,3353.67
355,2024-07,3574.24
356,2024-08,3606.54
357,2024-09,3292.82
358,2024-10,3505.21
359,2024-11,3340.79
360,2024-12,3554.62
361,2025-01,3496.89
362,2025-02,3316.59
363,2025-03,3735.8
364,2025-04,3628.14
365,2025-05,3829.11
366,2025-06,3708.91
367,2025-07,3866.86
368,2025-08,3864.91
369,2025-09,3763.99
370,2025-10,3828.47
371,2025-11,3705.04
372,2025-12,3919
373,2026-01,3892.37
374,2026-02,3421.08
375,2026-03,3897.28
376,2026-04,3760.27
377,2026-05,3942.74
