month,wind_mean_ms,wind_max_ms,wind_min_ms,dir_dominant
2015-01,20.0,26.3,13.7,10
2015-02,19.7,27.2,13.0,25
2015-03,14.5,20.1,6.8,39
2015-04,11.2,17.1,8.2,48
2015-05,11.8,16.1,7.7,158
2015-06,13.9,19.0,9.8,150
2015-07,16.2,19.8,12.5,178
2015-08,14.9,20.1,10.2,156
2015-09,14.8,18.8,9.8,136
2015-10,12.4,16.7,8.8,125
2015-11,9.8,13.7,7.1,14
2015-12,14.4,24.2,7.8,23
2016-01,15.8,23.4,9.5,30
2016-02,20.3,29.3,11.2,18
2016-03,16.8,25.4,10.1,34
2016-04,11.3,18.9,7.0,47
2016-05,10.7,19.5,5.4,179
2016-06,12.9,18.2,8.7,195
2016-07,13.6,20.2,8.7,169
2016-08,15.1,19.8,10.9,165
2016-09,13.6,23.3,7.7,216
2016-10,13.3,21.9,6.8,241
2016-11,11.0,17.1,5.7,312
2016-12,14.3,19.2,8.9,331
2017-01,17.6,28.3,10.7,13
2017-02,21.0,31.5,11.6,20
2017-03,17.2,25.6,9.0,26
2017-04,14.4,20.3,8.3,268
2017-05,16.3,21.6,10.7,170
2017-06,16.2,20.3,11.6,148
2017-07,20.8,29.9,16.1,171
2017-08,19.1,25.8,13.2,164
2017-09,16.2,22.2,10.5,140
2017-10,14.0,19.5,10.4,201
2017-11,15.6,26.3,10.0,309
2017-12,17.8,30.4,10.1,352
2018-01,17.5,24.5,10.4,349
2018-02,23.6,32.2,14.3,21
2018-03,18.6,26.6,12.2,35
2018-04,15.5,23.9,10.0,31
2018-05,13.5,21.3,8.7,155
2018-06,17.5,25.2,10.4,169
2018-07,19.8,28.6,14.7,160
2018-08,20.1,25.1,14.1,177
2018-09,16.6,23.2,11.0,153
2018-10,14.9,22.4,10.6,139
2018-11,14.8,21.9,10.1,287
2018-12,16.3,24.2,11.5,3
2019-01,22.9,33.8,13.5,29
2019-02,22.5,29.0,15.1,32
2019-03,19.4,29.2,10.0,38
2019-04,14.0,19.7,8.6,59
2019-05,15.3,20.0,11.1,207
2019-06,17.7,25.1,12.6,159
2019-07,19.6,26.6,13.8,156
2019-08,21.3,27.8,12.0,154
2019-09,19.9,27.4,10.0,148
2019-10,14.4,19.6,9.7,90
2019-11,14.6,19.9,11.0,47
2019-12,21.7,33.5,10.0,20
2020-01,23.0,28.6,12.7,18
2020-02,24.5,32.8,13.3,21
2020-03,19.6,28.7,8.7,29
2020-04,15.8,21.1,9.4,40
2020-05,14.6,24.1,9.7,211
2020-06,18.0,24.7,11.2,153
2020-07,17.0,23.9,11.5,131
2020-08,18.0,24.1,12.7,163
2020-09,18.1,24.2,11.9,127
2020-10,18.1,33.9,10.6,217
2020-11,14.9,20.5,7.9,336
2020-12,18.0,25.7,12.2,13
2021-01,23.6,36.2,15.4,356
2021-02,24.8,31.5,17.0,24
2021-03,19.7,28.1,12.2,36
2021-04,14.7,22.9,9.0,353
2021-05,14.9,19.2,9.2,187
2021-06,15.7,21.6,10.7,203
2021-07,18.0,26.6,10.8,175
2021-08,17.9,24.7,11.9,174
2021-09,17.2,29.9,10.2,237
2021-10,17.2,24.3,10.1,184
2021-11,16.6,26.2,11.2,313
2021-12,21.0,28.3,13.4,357
2022-01,22.0,26.9,14.6,18
2022-02,20.3,27.4,15.1,31
2022-03,16.4,24.1,11.2,8
2022-04,15.4,23.7,8.3,298
2022-05,17.2,22.7,11.3,107
2022-06,15.8,26.0,10.1,178
2022-07,17.8,25.3,10.7,167
2022-08,18.8,26.2,13.3,189
2022-09,17.9,37.8,12.5,173
2022-10,16.4,24.9,9.6,337
2022-11,17.8,26.3,10.8,342
2022-12,19.1,26.1,11.9,4
2023-01,20.8,32.9,13.0,7
2023-02,22.3,34.1,15.5,18
2023-03,20.8,33.2,10.4,27
2023-04,15.2,20.2,10.7,357
2023-05,17.1,25.6,11.2,235
2023-06,17.2,25.4,12.6,161
2023-07,18.3,25.3,9.0,162
2023-08,19.1,25.9,12.3,169
2023-09,19.1,26.3,13.2,164
2023-10,16.2,26.0,10.9,141
2023-11,14.3,27.7,8.5,308
2023-12,17.3,31.5,12.2,0
2024-01,21.0,28.6,13.0,22
2024-02,22.7,31.6,14.3,30
2024-03,20.4,26.4,10.4,29
2024-04,14.4,23.0,10.3,59
2024-05,15.4,21.2,11.2,191
2024-06,15.9,24.6,9.6,187
2024-07,20.1,25.6,10.9,157
2024-08,19.2,26.5,13.9,143
2024-09,18.3,27.4,9.8,198
2024-10,16.1,23.0,10.5,262
2024-11,13.2,21.7,7.9,357
2024-12,14.8,21.0,8.1,318
2025-01,17.5,25.0,9.4,21
2025-02,16.7,23.5,8.9,19
2025-03,15.0,23.2,10.0,29
2025-04,11.3,16.6,8.9,347
2025-05,12.3,17.8,7.8,254
2025-06,13.9,18.7,9.1,205
2025-07,15.0,21.1,9.3,168
2025-08,14.5,24.6,10.2,170
2025-09,13.9,17.9,8.9,214
2025-10,14.9,22.2,9.3,186
2025-11,13.8,24.0,7.1,268
2025-12,15.0,23.4,9.0,359
2026-01,18.9,23.8,13.8,20
2026-02,17.3,24.0,11.4,28
2026-03,16.5,22.4,8.5,32
2026-04,12.8,20.2,8.5,71
2026-05,11.4,18.1,6.6,76
2026-06,13.6,17.9,10.0,170
2026-07,14.6,23.4,11.0,172
2026-08,16.1,19.2,12.6,166
