mmsi,zone,start,dwell_hours,ship_type,month
3,port_core,2023-10-29 02:00:00+00:00,13.5,70.0,2023-10
4,port_core,2023-10-30 23:30:00+00:00,0.5,80.0,2023-10
6,eastern_opl,2023-10-27 05:00:00+00:00,10.0,80.0,2023-10
7,port_core,2023-10-11 09:00:00+00:00,13.5,80.0,2023-10
8,eastern_opl,2023-10-25 09:30:00+00:00,4.0,70.0,2023-10
9,eastern_opl,2023-10-04 09:30:00+00:00,2.5,70.0,2023-10
9,port_core,2023-10-04 10:30:00+00:00,11.5,70.0,2023-10
10,eastern_opl,2023-10-21 07:30:00+00:00,10.5,70.0,2023-10
10,port_core,2023-10-21 05:30:00+00:00,16.5,70.0,2023-10
11,eastern_opl,2023-10-22 16:00:00+00:00,0.0,70.0,2023-10
12,port_core,2023-10-04 04:00:00+00:00,18.0,70.0,2023-10
13,eastern_opl,2023-10-14 05:30:00+00:00,7.5,71.0,2023-10
13,eastern_opl,2023-10-28 04:30:00+00:00,7.0,71.0,2023-10
14,eastern_opl,2023-10-08 18:00:00+00:00,8.5,70.0,2023-10
15,port_core,2023-10-11 22:30:00+00:00,9.5,70.0,2023-10
16,port_core,2023-10-18 02:30:00+00:00,22.5,89.0,2023-10
17,port_core,2023-10-08 18:00:00+00:00,4.5,70.0,2023-10
19,port_core,2023-10-06 03:00:00+00:00,16.0,70.0,2023-10
20,port_core,2023-10-04 12:00:00+00:00,12.0,70.0,2023-10
23,eastern_opl,2023-10-25 16:30:00+00:00,4.5,70.0,2023-10
23,port_core,2023-10-25 22:00:00+00:00,6.0,70.0,2023-10
24,port_core,2023-10-04 06:30:00+00:00,4.0,70.0,2023-10
25,port_core,2023-10-30 18:30:00+00:00,5.0,70.0,2023-10
26,eastern_opl,2023-10-01 07:30:00+00:00,11.0,70.0,2023-10
29,port_core,2023-10-05 04:00:00+00:00,10.0,70.0,2023-10
30,port_core,2023-10-04 12:00:00+00:00,56.0,80.0,2023-10
30,port_core,2023-10-08 17:30:00+00:00,316.5,80.0,2023-10
30,port_core,2023-10-25 08:30:00+00:00,135.5,80.0,2023-10
31,port_core,2023-10-19 16:30:00+00:00,6.0,80.0,2023-10
32,port_core,2023-10-26 15:00:00+00:00,11.0,70.0,2023-10
33,eastern_opl,2023-10-13 06:30:00+00:00,9.5,70.0,2023-10
36,eastern_opl,2023-10-14 05:30:00+00:00,116.0,80.0,2023-10
36,port_core,2023-10-12 22:30:00+00:00,27.0,80.0,2023-10
39,port_core,2023-10-26 06:30:00+00:00,15.0,70.0,2023-10
41,eastern_opl,2023-10-25 15:00:00+00:00,15.5,70.0,2023-10
43,port_core,2023-10-17 13:00:00+00:00,20.5,70.0,2023-10
44,eastern_opl,2023-10-13 17:00:00+00:00,0.5,70.0,2023-10
44,port_core,2023-10-13 10:30:00+00:00,6.0,70.0,2023-10
47,port_core,2023-10-04 11:00:00+00:00,8.0,79.0,2023-10
47,port_core,2023-10-15 08:00:00+00:00,0.0,79.0,2023-10
48,port_core,2023-10-30 19:00:00+00:00,3.0,71.0,2023-10
49,western_opl,2023-10-13 10:00:00+00:00,47.5,84.0,2023-10
50,eastern_opl,2023-10-26 15:00:00+00:00,23.0,70.0,2023-10
51,eastern_opl,2023-10-01 00:00:00+00:00,1.0,70.0,2023-10
52,port_core,2023-10-17 14:30:00+00:00,91.5,70.0,2023-10
54,eastern_opl,2023-10-25 09:00:00+00:00,15.5,70.0,2023-10
55,port_core,2023-10-09 10:30:00+00:00,30.0,70.0,2023-10
56,port_core,2023-10-30 14:30:00+00:00,9.0,70.0,2023-10
57,port_core,2023-10-28 17:00:00+00:00,11.5,70.0,2023-10
58,port_core,2023-10-06 04:00:00+00:00,9.5,70.0,2023-10
59,port_core,2023-10-09 17:00:00+00:00,27.5,70.0,2023-10
60,port_core,2023-10-16 17:00:00+00:00,14.0,70.0,2023-10
63,port_core,2023-10-06 02:30:00+00:00,17.5,79.0,2023-10
72,eastern_opl,2023-10-18 22:30:00+00:00,72.0,70.0,2023-10
74,port_core,2023-10-29 08:00:00+00:00,8.5,70.0,2023-10
75,port_core,2023-10-11 09:30:00+00:00,22.5,70.0,2023-10
78,eastern_opl,2023-10-19 16:30:00+00:00,5.5,70.0,2023-10
79,port_core,2023-10-25 09:00:00+00:00,101.5,71.0,2023-10
79,western_opl,2023-10-29 15:00:00+00:00,0.5,71.0,2023-10
83,port_core,2023-10-19 16:30:00+00:00,9.5,70.0,2023-10
87,eastern_opl,2023-10-09 06:30:00+00:00,110.5,89.0,2023-10
87,eastern_opl,2023-10-18 20:00:00+00:00,1.5,89.0,2023-10
87,port_core,2023-10-14 02:00:00+00:00,13.5,89.0,2023-10
90,port_core,2023-10-09 08:30:00+00:00,9.0,79.0,2023-10
91,port_core,2023-10-20 02:00:00+00:00,17.5,70.0,2023-10
94,eastern_opl,2023-10-09 19:00:00+00:00,11.0,70.0,2023-10
94,eastern_opl,2023-10-25 15:30:00+00:00,11.0,70.0,2023-10
95,port_core,2023-10-27 04:30:00+00:00,1.0,71.0,2023-10
104,port_core,2023-10-09 03:00:00+00:00,10.5,80.0,2023-10
107,port_core,2023-10-02 01:30:00+00:00,8.5,70.0,2023-10
109,port_core,2023-10-30 23:00:00+00:00,1.0,70.0,2023-10
110,port_core,2023-10-08 17:30:00+00:00,38.0,80.0,2023-10
111,eastern_opl,2023-10-17 01:30:00+00:00,0.0,80.0,2023-10
111,port_core,2023-10-16 15:00:00+00:00,9.5,80.0,2023-10
112,western_opl,2023-10-13 17:30:00+00:00,6.0,80.0,2023-10
112,western_opl,2023-10-15 03:30:00+00:00,6.0,80.0,2023-10
112,western_opl,2023-10-16 12:00:00+00:00,11.5,80.0,2023-10
114,western_opl,2023-10-28 02:00:00+00:00,68.0,80.0,2023-10
116,eastern_opl,2023-10-21 02:00:00+00:00,20.5,89.0,2023-10
116,eastern_opl,2023-10-25 09:00:00+00:00,0.5,89.0,2023-10
116,port_core,2023-10-25 10:00:00+00:00,0.5,89.0,2023-10
116,western_opl,2023-10-25 11:30:00+00:00,0.5,89.0,2023-10
117,port_core,2023-10-13 15:30:00+00:00,14.5,79.0,2023-10
120,port_core,2023-10-18 01:30:00+00:00,12.5,70.0,2023-10
121,port_core,2023-10-02 23:00:00+00:00,9.0,70.0,2023-10
122,eastern_opl,2023-10-25 19:30:00+00:00,9.5,70.0,2023-10
124,western_opl,2023-10-06 01:30:00+00:00,18.5,81.0,2023-10
125,port_core,2023-10-11 09:00:00+00:00,31.5,89.0,2023-10
126,eastern_opl,2023-10-27 02:00:00+00:00,12.5,70.0,2023-10
126,port_core,2023-10-04 13:30:00+00:00,16.5,70.0,2023-10
127,eastern_opl,2023-10-21 10:00:00+00:00,12.5,70.0,2023-10
128,eastern_opl,2023-10-11 08:30:00+00:00,14.0,70.0,2023-10
129,port_core,2023-10-05 11:00:00+00:00,12.5,70.0,2023-10
131,port_core,2023-10-20 06:00:00+00:00,2.5,71.0,2023-10
133,eastern_opl,2023-10-18 05:30:00+00:00,0.5,80.0,2023-10
134,port_core,2023-10-05 13:00:00+00:00,22.0,71.0,2023-10
137,port_core,2023-10-09 03:00:00+00:00,7.5,70.0,2023-10
142,port_core,2023-10-25 08:30:00+00:00,37.5,71.0,2023-10
144,port_core,2023-10-11 21:00:00+00:00,0.5,71.0,2023-10
149,port_core,2023-10-16 10:00:00+00:00,19.0,89.0,2023-10
149,port_core,2023-10-18 08:00:00+00:00,18.0,89.0,2023-10
150,port_core,2023-10-18 05:30:00+00:00,13.0,80.0,2023-10
153,port_core,2023-10-11 09:30:00+00:00,11.0,73.0,2023-10
156,port_core,2023-10-05 07:00:00+00:00,37.0,80.0,2023-10
159,port_core,2023-10-02 15:00:00+00:00,15.0,80.0,2023-10
162,port_core,2023-10-14 01:30:00+00:00,95.5,70.0,2023-10
163,port_core,2023-10-25 09:00:00+00:00,39.0,89.0,2023-10
168,port_core,2023-10-01 00:00:00+00:00,0.0,89.0,2023-10
168,western_opl,2023-10-01 23:00:00+00:00,81.0,89.0,2023-10
168,western_opl,2023-10-08 17:30:00+00:00,7.0,89.0,2023-10
169,western_opl,2023-10-11 09:00:00+00:00,30.5,80.0,2023-10
171,western_opl,2023-10-13 09:00:00+00:00,16.5,84.0,2023-10
172,western_opl,2023-10-27 17:00:00+00:00,56.0,84.0,2023-10
174,port_core,2023-10-18 02:30:00+00:00,11.0,80.0,2023-10
174,port_core,2023-10-22 16:00:00+00:00,0.0,80.0,2023-10
176,western_opl,2023-10-25 11:00:00+00:00,46.5,89.0,2023-10
176,western_opl,2023-10-28 15:00:00+00:00,57.0,89.0,2023-10
178,western_opl,2023-10-01 00:00:00+00:00,137.5,80.0,2023-10
185,port_core,2023-10-01 00:00:00+00:00,15.0,70.0,2023-10
199,port_core,2023-10-29 17:00:00+00:00,30.5,89.0,2023-10
200,port_core,2023-10-01 12:00:00+00:00,19.5,80.0,2023-10
200,port_core,2023-10-25 08:30:00+00:00,89.0,80.0,2023-10
208,port_core,2023-10-30 08:00:00+00:00,3.5,82.0,2023-10
209,eastern_opl,2023-10-27 11:30:00+00:00,78.5,80.0,2023-10
209,port_core,2023-10-21 20:30:00+00:00,19.5,80.0,2023-10
210,western_opl,2023-10-11 09:00:00+00:00,38.5,80.0,2023-10
211,eastern_opl,2023-10-11 08:30:00+00:00,12.0,89.0,2023-10
211,western_opl,2023-10-12 13:30:00+00:00,159.5,89.0,2023-10
213,western_opl,2023-10-18 14:00:00+00:00,39.0,80.0,2023-10
216,port_core,2023-10-10 01:30:00+00:00,19.0,71.0,2023-10
222,western_opl,2023-10-30 08:00:00+00:00,15.5,80.0,2023-10
229,western_opl,2023-10-29 08:30:00+00:00,16.5,80.0,2023-10
232,western_opl,2023-10-03 03:30:00+00:00,47.0,80.0,2023-10
233,port_core,2023-10-05 23:00:00+00:00,9.0,70.0,2023-10
234,port_core,2023-10-12 14:30:00+00:00,10.5,80.0,2023-10
