date,eastern_opl,other,port_core,western_opl
20231001,377,495,750,402
20231002,369,494,748,405
20231003,316,485,709,373
20231004,312,495,720,393
20231005,374,489,730,391
20231006,291,391,665,340
20231008,166,215,482,190
20231009,345,506,705,408
20231010,260,383,632,322
20231011,222,283,537,246
20231012,225,357,597,285
20231013,372,503,742,421
20231014,373,503,728,405
20231015,204,272,538,234
20231016,244,328,610,301
20231017,322,419,718,378
20231018,354,438,715,372
20231019,262,319,672,289
20231020,389,464,738,384
20231021,361,471,745,401
20231022,17,27,125,23
20231025,217,313,593,277
20231026,324,471,702,409
20231027,313,447,700,378
20231028,344,453,745,367
20231029,358,471,729,405
20231030,287,381,679,305
