date,eastern_opl,other,port_core,western_opl
20231001,97,156,566,171
20231002,92,154,547,170
20231003,93,154,545,160
20231004,97,161,552,176
20231005,110,149,545,171
20231006,100,118,526,157
20231008,66,98,387,102
20231009,97,151,535,175
20231010,76,130,503,171
20231011,77,108,443,136
20231012,81,116,466,139
20231013,88,148,539,183
20231014,106,140,548,160
20231015,83,85,413,104
20231016,92,84,482,125
20231017,96,82,536,150
20231018,103,105,528,161
20231019,97,96,533,146
20231020,108,129,567,158
20231021,98,118,563,146
20231022,8,15,90,17
20231025,74,92,462,130
20231026,94,100,516,167
20231027,98,104,531,150
20231028,94,125,548,137
20231029,101,124,544,162
20231030,94,117,551,137
