month,n_days,eopl,eopl_sd,total,port,wopl,eopl_ci95,container_arrivals
2023-01,4,85.5,7.14,388.0,118.5,70.75,7.0,1325
2024-01,4,84.5,11.15,386.5,109.0,67.5,10.93,1332
2024-02,6,91.17,10.05,400.0,115.33,69.83,8.04,1218
2024-03,4,85.25,9.67,375.5,103.75,59.25,9.48,1248
2024-04,6,86.5,12.28,339.17,93.17,47.17,9.82,1173
2024-05,2,78.0,8.49,323.0,88.5,56.5,11.76,1203
2024-06,3,78.67,9.45,359.67,106.33,60.0,10.7,1087
2024-07,2,87.0,9.9,379.0,112.5,64.0,13.72,1214
2024-08,5,82.6,14.08,351.0,105.2,58.4,12.34,1274
2024-09,4,86.25,2.06,384.5,103.5,63.75,2.02,1193
2024-10,4,99.75,11.0,383.75,107.5,60.75,10.78,1300
2024-11,5,87.2,4.92,359.2,95.0,57.6,4.31,1234
2024-12,4,90.75,2.63,366.5,106.0,57.5,2.58,1281
2025-01,6,96.17,6.91,387.5,113.0,62.5,5.53,1291
2025-02,4,92.0,9.9,367.75,102.0,55.0,9.7,1169
2025-03,6,76.67,7.45,350.67,99.67,55.5,5.96,1269
2025-04,4,78.5,10.97,338.5,98.5,55.75,10.75,1254
2025-05,4,87.0,11.75,368.75,104.25,59.5,11.51,1367
2025-06,2,88.0,0.0,380.0,110.0,56.5,0.0,1294
