month,total,port_core,eastern_opl,western_opl,other,arrivals,arrivals_br,bunker,container
1995-01,,,,,,8876.0,8876.0,1565.3,946.36
1995-02,,,,,,7593.0,7593.0,1333.7,867.45
1995-03,,,,,,8610.0,8610.0,1511.1000000000001,969.54
1995-04,,,,,,8483.0,8483.0,1556.8999999999999,960.13
1995-05,,,,,,8749.0,8749.0,1470.1,988.27
1995-06,,,,,,8507.0,8507.0,1454.8000000000002,973.04
1995-07,,,,,,8669.0,8669.0,1530.9,1037.36
1995-08,,,,,,8498.0,8498.0,1418.3,1046.53
1995-09,,,,,,8582.0,8582.0,1451.3,977.47
1995-10,,,,,,9140.0,9140.0,1472.3,1047.89
1995-11,,,,,,8788.0,8788.0,1324.5,986.85
1995-12,,,,,,9519.0,9519.0,1400.0,1045.14
1996-01,,,,,,9592.0,9592.0,1434.5500000000002,1047.67
1996-02,,,,,,8687.0,8687.0,1425.76,958.42
1996-03,,,,,,9971.0,9971.0,1506.5,1021.53
1996-04,,,,,,9633.0,9633.0,1433.9999999999998,1040.96
1996-05,,,,,,9836.0,9836.0,1603.1399999999999,1093.59
1996-06,,,,,,9635.0,9635.0,1488.4,1073.73
1996-07,,,,,,10046.0,10046.0,1392.89,1143.93
1996-08,,,,,,9888.0,9888.0,1355.9399999999998,1128.48
1996-09,,,,,,9840.0,9840.0,1190.7,1085.66
1996-10,,,,,,10218.0,10218.0,1353.6699999999998,1137.66
1996-11,,,,,,10083.0,10083.0,1330.1200000000001,1098.74
1996-12,,,,,,10294.0,10294.0,1422.8400000000001,1114.11
1997-01,,,,,,10726.0,10726.0,1506.81,1105.2
1997-02,,,,,,8945.0,8945.0,1377.19,963.32
1997-03,,,,,,10605.0,10605.0,1391.4299999999998,1187.06
1997-04,,,,,,10332.0,10332.0,1490.51,1139.66
1997-05,,,,,,10861.0,10861.0,1432.7,1180.4
1997-06,,,,,,10730.0,10730.0,1452.64,1183.7
1997-07,,,,,,11334.0,11334.0,1519.0500000000002,1250.59
1997-08,,,,,,11169.0,11169.0,1371.84,1235.57
1997-09,,,,,,11317.0,11317.0,1295.02,1207.08
1997-10,,,,,,11481.0,11481.0,1321.65,1272.03
1997-11,,,,,,11075.0,11075.0,1306.0100000000002,1198.91
1997-12,,,,,,11758.0,11758.0,1475.8899999999999,1212.36
1998-01,,,,,,11479.0,11479.0,1635.31,1144.11
1998-02,,,,,,10631.0,10631.0,1418.59,1047.96
1998-03,,,,,,11640.0,11640.0,1512.1,1312.16
1998-04,,,,,,11095.0,11095.0,1351.11,1256.44
1998-05,,,,,,11909.0,11909.0,1593.53,1278.53
1998-06,,,,,,11702.0,11702.0,1423.4299999999998,1355.05
1998-07,,,,,,11915.0,11915.0,1650.9199999999998,1327.4
1998-08,,,,,,12030.0,12030.0,1592.83,1286.21
1998-09,,,,,,11904.0,11904.0,1433.05,1275.32
1998-10,,,,,,12078.0,12078.0,1365.3799999999999,1289.78
1998-11,,,,,,12088.0,12088.0,1425.59,1268.19
1998-12,,,,,,12451.0,12451.0,1662.02,1294.4
1999-01,,,,,,12227.0,12227.0,1597.27,1198.16
1999-02,,,,,,10743.0,10743.0,1584.78,1143.95
1999-03,,,,,,12393.0,12393.0,1735.5600000000002,1321.73
1999-04,,,,,,11822.0,11822.0,1647.02,1292.65
1999-05,,,,,,12033.0,12033.0,1564.2900000000002,1369.36
1999-06,,,,,,11750.0,11750.0,1520.0,1357.75
1999-07,,,,,,12341.0,12341.0,1629.51,1381.62
1999-08,,,,,,12059.0,12059.0,1656.71,1426.02
1999-09,,,,,,11639.0,11639.0,1484.9099999999999,1345.8
1999-10,,,,,,11776.0,11776.0,1574.8500000000001,1381.77
1999-11,,,,,,11176.0,11176.0,1334.1100000000001,1338.37
1999-12,,,,,,11564.0,11564.0,1562.21,1387.62
2000-01,,,,,,11433.0,11434.0,1603.6999999999998,1333.93
2000-02,,,,,,10894.0,10894.0,1425.63,1382.96
2000-03,,,,,,12297.0,12296.0,1356.62,1512.4
2000-04,,,,,,12004.0,12004.0,1476.45,1455.18
2000-05,,,,,,12394.0,12395.0,1565.8999999999999,1494.14
2000-06,,,,,,12425.0,12425.0,1555.79,1486.32
2000-07,,,,,,12612.0,12612.0,1621.44,1492.51
2000-08,,,,,,12363.0,12368.0,1732.28,1507.12
2000-09,,,,,,11934.0,11937.0,1535.99,1393.86
2000-10,,,,,,12511.0,12504.0,1572.48,1430.99
2000-11,,,,,,12107.0,12106.0,1457.3,1325.54
2000-12,,,,,,12409.0,12408.0,1747.2099999999998,1271.96
2001-01,,,,,,12186.0,12186.0,1717.8999999999999,1181.34
2001-02,,,,,,11131.0,11131.0,1533.47,1156.03
2001-03,,,,,,12574.0,12574.0,1628.85,1341.81
2001-04,,,,,,11862.0,11862.0,1714.53,1264.96
2001-05,,,,,,12561.0,12561.0,1569.87,1307.79
2001-06,,,,,,12048.0,12048.0,1631.46,1294.49
2001-07,,,,,,12912.0,12912.0,1783.6499999999999,1353.52
2001-08,,,,,,12696.0,12696.0,1737.3600000000001,1349.62
2001-09,,,,,,12055.0,12055.0,1728.0900000000001,1332.51
2001-10,,,,,,12454.0,12454.0,1877.73,1359.93
2001-11,,,,,,11871.0,11871.0,1706.94,1302.71
2001-12,,,,,,11915.0,11915.0,1721.86,1326.38
2002-01,,,,,,11910.0,11910.0,1611.55,1322.54
2002-02,,,,,,10512.0,10512.0,1594.26,1256.26
2002-03,,,,,,12115.0,12115.0,1681.41,1435.04
2002-04,,,,,,11631.0,11631.0,1681.72,1392.63
2002-05,,,,,,12089.0,12089.0,1690.24,1452.75
2002-06,,,,,,11719.0,11719.0,1654.17,1421.47
2002-07,,,,,,12458.0,12458.0,1641.58,1497.48
2002-08,,,,,,12178.0,12178.0,1664.19,1473.65
2002-09,,,,,,11878.0,11878.0,1609.5200000000002,1430.12
2002-10,,,,,,12369.0,12369.0,1701.8700000000001,1437.62
2002-11,,,,,,11976.0,11976.0,1817.63,1406.76
2002-12,,,,,,11911.0,11911.0,1748.23,1414.61
2003-01,,,,,,12072.0,12072.0,1800.1399999999999,1402.8
2003-02,,,,,,10478.0,10478.0,1607.0600000000002,1319.8
2003-03,,,,,,11860.0,11860.0,1761.16,1527.21
2003-04,,,,,,11108.0,11108.0,1659.68,1452.4
2003-05,,,,,,10837.0,10837.0,1747.63,1516.39
2003-06,,,,,,10755.0,10755.0,1681.04,1546.04
2003-07,,,,,,11317.0,11317.0,1604.91,1630.04
2003-08,,,,,,11284.0,11284.0,1710.26,1622.58
2003-09,,,,,,11098.0,11098.0,1730.1200000000001,1550.72
2003-10,,,,,,11502.0,11502.0,1736.05,1628.92
2003-11,,,,,,11342.0,11342.0,1853.61,1563.92
2003-12,,,,,,11733.0,11733.0,1917.32,1649.65
2004-01,,,,,,11448.0,11448.0,1858.62,1612.94
2004-02,,,,,,10724.0,10724.0,1766.84,1482.22
2004-03,,,,,,11882.0,11882.0,1869.1799999999998,1742.57
2004-04,,,,,,10466.0,10466.0,1985.01,1707.69
2004-05,,,,,,10975.0,10975.0,1977.57,1792.45
2004-06,,,,,,10764.0,10764.0,1963.03,1857.88
2004-07,,,,,,11287.0,11287.0,1977.5400000000002,1871.09
2004-08,,,,,,11028.0,11028.0,1979.1,1877.99
