k,window,min_pix,n_det,matched,match_rate,time_s
4.0,32,3,1917,1244,0.6489306207616067,0.7
4.0,32,5,1301,924,0.7102229054573405,0.8
4.0,32,7,978,739,0.7556237218813906,1.0
4.0,48,3,1977,1243,0.6287303995953465,0.7
4.0,48,5,1332,937,0.7034534534534534,0.6
4.0,48,7,1002,750,0.7485029940119761,0.6
4.0,64,3,2008,1242,0.6185258964143426,0.7
4.0,64,5,1341,943,0.703206562266965,0.7
4.0,64,7,1013,755,0.7453109575518263,0.8
4.0,96,3,2013,1223,0.6075509190263289,0.6
4.0,96,5,1341,925,0.6897837434750187,0.7
4.0,96,7,1018,749,0.7357563850687623,0.7
4.5,32,3,1657,1123,0.6777308388654194,0.5
4.5,32,5,1136,843,0.7420774647887324,0.5
4.5,32,7,850,673,0.7917647058823529,0.5
4.5,48,3,1719,1146,0.6666666666666666,0.5
4.5,48,5,1166,854,0.7324185248713551,0.5
4.5,48,7,865,668,0.7722543352601156,0.5
4.5,64,3,1739,1151,0.6618746405980449,0.5
4.5,64,5,1190,855,0.7184873949579832,0.5
4.5,64,7,888,677,0.7623873873873874,0.4
4.5,96,3,1755,1126,0.6415954415954416,0.5
4.5,96,5,1180,840,0.711864406779661,0.6
4.5,96,7,888,674,0.759009009009009,0.5
5.0,32,3,1439,1038,0.7213342599027102,0.5
5.0,32,5,1005,771,0.7671641791044777,0.6
5.0,32,7,739,589,0.79702300405954,0.6
5.0,48,3,1498,1045,0.6975967957276369,0.7
5.0,48,5,1028,774,0.7529182879377432,0.6
5.0,48,7,760,599,0.7881578947368421,0.6
5.0,64,3,1518,1041,0.6857707509881423,0.7
5.0,64,5,1045,779,0.7454545454545455,0.9
5.0,64,7,765,599,0.7830065359477124,0.8
5.0,96,3,1553,1050,0.6761107533805538,0.7
5.0,96,5,1062,782,0.736346516007533,0.6
5.0,96,7,784,613,0.7818877551020408,0.7
5.5,32,3,1263,944,0.7474267616785432,0.9
5.5,32,5,897,709,0.79041248606466,0.8
5.5,32,7,646,523,0.8095975232198143,0.8
5.5,48,3,1310,954,0.7282442748091603,0.6
5.5,48,5,912,702,0.7697368421052632,0.7
5.5,48,7,673,532,0.7904903417533432,0.7
5.5,64,3,1340,965,0.7201492537313433,0.7
5.5,64,5,923,702,0.7605633802816901,0.7
5.5,64,7,680,538,0.7911764705882353,0.9
5.5,96,3,1371,968,0.7060539752005836,0.9
5.5,96,5,959,725,0.7559958289885297,0.7
5.5,96,7,702,550,0.7834757834757835,0.6
6.0,32,3,1127,863,0.7657497781721384,0.7
6.0,32,5,799,638,0.7984981226533167,0.6
6.0,32,7,576,473,0.8211805555555556,0.6
6.0,48,3,1163,863,0.7420464316423044,0.6
6.0,48,5,809,633,0.7824474660074165,0.6
6.0,48,7,596,484,0.8120805369127517,0.6
6.0,64,3,1188,875,0.7365319865319865,0.6
6.0,64,5,834,643,0.7709832134292566,0.5
6.0,64,7,613,488,0.7960848287112561,0.5
6.0,96,3,1228,896,0.7296416938110749,0.6
6.0,96,5,844,650,0.7701421800947867,0.6
6.0,96,7,618,492,0.7961165048543689,0.5
6.5,32,3,1012,795,0.7855731225296443,0.5
6.5,32,5,721,584,0.8099861303744799,0.5
6.5,32,7,505,425,0.8415841584158416,0.6
6.5,48,3,1051,802,0.7630827783063748,0.5
6.5,48,5,735,587,0.7986394557823129,0.6
6.5,48,7,533,440,0.8255159474671669,0.6
6.5,64,3,1071,805,0.7516339869281046,0.5
6.5,64,5,745,587,0.7879194630872484,0.5
6.5,64,7,542,441,0.8136531365313653,0.6
6.5,96,3,1095,815,0.7442922374429224,0.5
6.5,96,5,758,596,0.7862796833773087,0.6
6.5,96,7,554,449,0.8104693140794224,0.6
