day,sat,status,cov,total,port_core,eastern_opl,western_opl,other
20260903,S1D,OK,0.897,419.0,113.0,86.0,64.0,156.0
20260325,S1A,OK,1.0,409.0,120.0,98.0,67.0,124.0
20260811,S1D,OK,1.0,415.0,132.0,112.0,52.0,119.0
20260324,S1A,OK,0.895,400.0,109.0,106.0,65.0,120.0
20260718,S1D,OK,1.0,384.0,91.0,87.0,83.0,123.0
20260223,S1A,LOWCOV,0.437,,,,,
20260211,S1A,LOWCOV,0.438,,,,,
20260216,S1A,OK,0.896,438.0,117.0,113.0,60.0,148.0
20260217,S1A,OK,1.0,393.0,113.0,89.0,68.0,123.0
20260204,S1A,OK,0.895,430.0,112.0,114.0,62.0,142.0
20260205,S1A,OK,1.0,399.0,117.0,111.0,66.0,105.0
20260130,S1A,LOWCOV,0.439,,,,,
20260124,S1A,OK,1.0,441.0,138.0,130.0,53.0,120.0
20260118,S1A,LOWCOV,0.438,,,,,
20260112,S1A,OK,1.0,425.0,131.0,108.0,57.0,129.0
20260123,S1A,OK,0.899,457.0,122.0,108.0,69.0,158.0
20260111,S1A,OK,0.896,425.0,105.0,116.0,77.0,127.0
20260106,S1A,LOWCOV,0.438,,,,,
20251225,S1A,LOWCOV,0.437,,,,,
20251230,S1A,OK,0.897,390.0,94.0,103.0,62.0,131.0
20251231,S1A,OK,0.995,374.0,108.0,91.0,55.0,120.0
20251219,S1A,OK,1.0,399.0,112.0,107.0,62.0,118.0
20251218,S1A,OK,0.896,403.0,102.0,108.0,69.0,124.0
20251213,S1A,LOWCOV,0.438,,,,,
20251207,S1A,OK,1.0,422.0,113.0,127.0,74.0,108.0
20251206,S1A,OK,0.897,438.0,128.0,99.0,62.0,149.0
20251201,S1A,LOWCOV,0.434,,,,,
20251125,S1A,OK,0.922,346.0,105.0,93.0,52.0,96.0
20251119,S1A,LOWCOV,0.438,,,,,
20251113,S1A,OK,1.0,422.0,133.0,92.0,67.0,130.0
20251124,S1A,OK,0.864,386.0,92.0,104.0,58.0,132.0
20251112,S1A,OK,0.895,398.0,124.0,101.0,59.0,114.0
20251107,S1A,LOWCOV,0.436,,,,,
20251026,S1A,LOWCOV,0.42,,,,,
20251101,S1A,OK,0.997,355.0,115.0,87.0,62.0,91.0
20251031,S1A,OK,0.89,341.0,110.0,82.0,48.0,101.0
20251014,S1A,LOWCOV,0.438,,,,,
20251008,S1A,OK,0.997,362.0,114.0,84.0,54.0,110.0
20251002,S1A,LOWCOV,0.436,,,,,
20250926,S1A,OK,0.998,390.0,116.0,109.0,58.0,107.0
20250925,S1A,OK,0.895,419.0,115.0,102.0,56.0,146.0
20250920,S1A,LOWCOV,0.437,,,,,
20251019,S1A,OK,0.873,354.0,103.0,92.0,57.0,102.0
