month,n_days,total_mean,total_sd,port,eopl,wopl,ci95,index,container,arrivals,bunker
2019-05,1,369.0,,94.0,75.0,67.0,,100.20215430105905,3137.76,11697.0,4006.4700000000003
2020-05,1,336.0,,89.0,79.0,47.0,,91.24098603023263,2806.72,6582.0,3925.0099999999998
2020-08,1,341.0,,99.0,68.0,52.0,,92.59873879853967,3174.7,6958.0,4168.91
2020-09,2,373.0,18.384776310850235,104.5,78.5,59.0,25.479999999999997,101.28835651570468,3207.67,7255.0,4217.57
2020-10,2,364.5,13.435028842544403,104.5,73.0,55.0,18.619999999999997,98.98017680958273,3238.69,7502.0,4152.360000000001
2021-01,6,410.0,22.88230757594172,116.0,92.5,66.5,18.30965938150316,111.33572700117672,3156.02,7641.0,4503.0
2021-02,4,403.25,38.27422979847754,110.0,100.75,74.25,37.50874520250799,109.50276076396223,2881.59,6990.0,4120.1
2021-03,5,356.8,47.54156076529251,103.8,78.4,69.8,41.67201535803134,96.8892375463899,3270.57,7788.0,4202.37
2021-04,4,369.75,16.45954636879968,98.5,80.75,70.25,16.130355441423685,100.40581721630511,3091.28,7500.0,4259.41
2021-05,6,360.1666666666667,16.017698544630765,96.66666666666667,67.0,68.33333333333333,12.816828174101593,97.80345774371663,3216.9,7211.0,4080.4900000000002
2021-06,5,377.6,15.241391012633983,104.8,66.6,68.4,13.359668259354345,102.53748906254715,3114.51,7247.0,4116.2
2021-07,5,358.0,65.08456038109192,93.6,69.8,64.0,57.04913250874197,97.21509821078358,3123.56,7246.0,4069.16
2021-08,6,365.3333333333333,36.98468151365733,107.5,68.66666666666667,64.16666666666667,29.593908682550047,99.20646893763389,3182.28,7178.0,4074.85
2021-09,4,375.75,35.94787893603738,101.75,78.0,63.0,35.22892135731663,102.03512053827355,3117.36,6918.0,3939.2999999999997
2021-10,6,359.8333333333333,26.04163333331201,96.83333333333333,76.16666666666667,63.166666666666664,20.837646486854304,97.71294089249615,2974.93,7098.0,4265.2
2021-11,4,410.5,23.811761799581316,114.25,83.75,62.25,23.33552656358969,111.47150227800743,3149.98,7130.0,4229.339999999999
2021-12,6,396.6666666666667,21.685632724609782,117.66666666666667,78.33333333333333,67.66666666666667,17.35212007540033,107.71505295235798,3292.22,7286.0,4180.62
2022-01,4,397.25,12.175795661885921,116.25,82.0,66.0,11.932279748648202,107.87345744199379,3143.71,7213.0,4028.9900000000002
2022-02,6,393.8333333333333,19.893885157672603,113.83333333333333,76.83333333333333,66.5,15.918423428356348,106.94565971698397,2843.53,6440.0,3506.75
2022-03,4,378.75,23.084987907007157,104.5,77.75,62.75,22.623288148867015,102.84977219925777,3089.48,7307.0,3769.89
