month,n_days,total_mean,total_sd,port,eopl,wopl,ci95,index
2019-05,1,369.0,,94.0,75.0,67.0,,100.2
2020-05,1,336.0,,89.0,79.0,47.0,,91.24
2020-08,1,341.0,,99.0,68.0,52.0,,92.6
2020-09,2,373.0,18.38,104.5,78.5,59.0,25.48,101.29
2020-10,2,364.5,13.44,104.5,73.0,55.0,18.62,98.98
2021-01,6,410.0,22.88,116.0,92.5,66.5,18.31,111.34
2021-02,4,403.25,38.27,110.0,100.75,74.25,37.51,109.5
2021-03,5,356.8,47.54,103.8,78.4,69.8,41.67,96.89
2021-04,4,369.75,16.46,98.5,80.75,70.25,16.13,100.41
2021-05,6,360.17,16.02,96.67,67.0,68.33,12.82,97.8
2021-06,5,377.6,15.24,104.8,66.6,68.4,13.36,102.54
2021-07,5,358.0,65.08,93.6,69.8,64.0,57.05,97.22
2021-08,6,365.33,36.98,107.5,68.67,64.17,29.59,99.21
2021-09,4,375.75,35.95,101.75,78.0,63.0,35.23,102.04
2021-10,6,359.83,26.04,96.83,76.17,63.17,20.84,97.71
2021-11,4,410.5,23.81,114.25,83.75,62.25,23.34,111.47
2021-12,6,396.67,21.69,117.67,78.33,67.67,17.35,107.72
2022-01,4,397.25,12.18,116.25,82.0,66.0,11.93,107.87
2022-02,6,393.83,19.89,113.83,76.83,66.5,15.92,106.95
2022-03,4,378.75,23.08,104.5,77.75,62.75,22.62,102.85
2022-04,6,331.0,36.17,91.0,72.0,55.33,28.94,89.88
2022-05,3,358.67,11.02,102.67,73.67,66.67,12.46,97.4
2022-06,5,373.4,34.58,108.0,75.8,64.2,30.31,101.4
2022-07,2,391.0,60.81,117.5,82.0,71.0,84.28,106.18
2022-08,4,362.0,9.13,104.5,77.0,66.0,8.95,98.3
2022-09,6,352.0,38.38,90.67,75.5,65.17,30.71,95.59
2022-10,4,371.25,32.23,102.75,87.25,64.75,31.59,100.81
2022-11,6,370.0,10.26,109.5,84.0,62.17,8.21,100.47
2022-12,4,361.5,29.65,110.25,82.25,55.25,29.05,98.17
2023-01,4,388.0,10.39,118.5,85.5,70.75,10.18,105.36
2024-01,4,386.5,52.48,109.0,84.5,67.5,51.43,104.95
2024-02,6,400.0,18.17,115.33,91.17,69.83,14.54,108.62
2024-03,4,375.5,22.47,103.75,85.25,59.25,22.02,101.97
2024-04,6,339.17,42.59,93.17,86.5,47.17,34.08,92.1
2024-05,2,323.0,42.43,88.5,78.0,56.5,58.8,87.71
2024-06,3,359.67,29.4,106.33,78.67,60.0,33.27,97.67
2024-07,2,379.0,29.7,112.5,87.0,64.0,41.16,102.92
2024-08,5,351.0,42.85,105.2,82.6,58.4,37.56,95.31
2024-09,4,384.5,25.09,103.5,86.25,63.75,24.59,104.41
2024-10,4,383.75,19.26,107.5,99.75,60.75,18.87,104.21
2024-11,5,359.2,27.82,95.0,87.2,57.6,24.39,97.54
2024-12,4,366.5,11.27,106.0,90.75,57.5,11.04,99.52
2025-01,6,387.5,22.39,113.0,96.17,62.5,17.92,105.23
2025-02,4,367.75,27.87,102.0,92.0,55.0,27.32,99.86
2025-03,6,350.67,25.38,99.67,76.67,55.5,20.31,95.22
2025-04,4,338.5,13.08,98.5,78.5,55.75,12.82,91.92
2025-05,4,368.75,13.35,104.25,87.0,59.5,13.08,100.13
2025-06,2,380.0,1.41,110.0,88.0,56.5,1.96,103.19
2025-07,3,409.0,25.51,113.67,98.33,61.67,28.87,111.06
2025-08,4,370.5,37.93,103.25,90.0,57.75,37.18,100.61
2025-09,6,383.33,29.32,110.33,98.0,58.17,23.46,104.09
2025-10,5,383.2,49.73,116.0,95.6,57.2,43.59,104.06
2025-11,5,381.4,31.21,113.8,95.4,59.6,27.35,103.57
2025-12,6,404.33,22.81,109.5,105.83,64.0,18.25,109.8
2026-01,4,437.0,15.32,124.0,115.5,64.0,15.01,118.67
2026-02,4,415.0,22.32,114.75,106.75,64.0,21.87,112.69
2026-03,2,404.5,6.36,114.5,102.0,66.0,8.82,109.84
2026-07,1,384.0,,91.0,87.0,83.0,,104.28
2026-08,1,415.0,,132.0,112.0,52.0,,112.69
2026-09,1,419.0,,113.0,86.0,64.0,,113.78
